bus_id,bus_name,area,loss_zone,type,voltage,angle,load_P,load_Q,generation_p,generation_Q,base_kV,desired_volts,MAX_Q,Min_Q,G,B,control_bus_number,M_Vm,M_Va,M_P,M_Q,BRANCH_NUM,GEN_NUM,CP_NUM,LOAD_NUM
3993,6646,0,1,2,0.955067,2.6963,0,0,0.12708,-0.01237,10,10.5,19.72,-19.72,0,0,0,10.028,2.696,12.708,-1.237,1,1,0,0
3994,699_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3995,6661,0,1,1,0.931748,-11.1144,0,0,0,0,35,35,0,0,0,0.48,0,34.941,0,0,0,1,0,3,0
3996,700_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
3997,6662,0,1,1,0.932054,-11.1548,0,0,0,0,35,35,0,0,0,0.48,0,34.952,0,0,0,1,0,3,0
3998,6683,0,1,2,0.994856,-4.63568,0.12838,0.19723,3.53167,-0.18729,22,22,105,-105,0,0,0,0,0,365.807,4.071,1,1,0,1
3999,6711,0,1,2,0.986926,2.87652,0,0,0.09367,-0.00205,10,10.5,5,-5,0,0,0,10.363,2.877,9.367,-0.205,1,2,0,0
4000,703_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4001,5292,0,1,1,0.912979,-4.50293,0,0,0,0,35,35,0,0,0,0,0,34.237,0,0,0,1,0,4,0
4002,704_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4003,5291,0,1,1,0.912969,-4.51146,0,0,0,0,35,35,0,0,0,0,0,34.236,0,0,0,1,0,4,0
4004,6732,0,1,2,1.00771,-17.5019,0,0,0.05663,0.03286,10,10.5,1.6,-1.6,0,0,0,10.581,0,5.663,3.286,1,1,0,0
4005,6750,0,1,2,1.00677,-7.12528,0,0,0.08708,-0.05616,13,13.8,11.12,-11.12,0,0,0,13.088,0,8.708,-5.616,1,2,0,0
4006,712_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4007,6859,0,1,1,0.924087,-9.50213,0,0,0,0,35,35,0,0,0,0.6,0,34.653,0,0,0,1,0,5,0
4008,713_0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
4009,6860,0,1,1,0.92391,-9.51518,0,0,0,0,35,35,0,0,0,0.6,0,34.647,0,0,0,1,0,5,0
4010,6951,0,1,2,0.964147,-14.3658,0,0,0.25141,-0.6181,15,15.75,30.56,-30.56,0,0,0,0,0,25.141,-61.81,1,1,0,0
4011,6955,0,1,1,0.985031,-12.3417,0.00145,0.03822,0,0,10,10.5,0,0,0,0,0,0,0,0,0,1,0,0,1
