tap_bus,z_bus,area,zone,circuit,type,R,X,B,Line_Q1,Line_Q2,Line_Q3,control_bus,side,transformer_final_turns_ratio,transformer_final_angle,Min_tap,Max_tap,step_size,Min_volt,Max_volt,M_P_TLPF,M_Q_TLPF,M_P_TLPF_reversed,M_Q_TLPF_reversed,limit
15,72,莆田.莆象Ⅰ路,1,1,0,0.002321,0.014809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.180000,-0.000000,-12.070000,0.000000,0.000000
15,72,莆田.莆象Ⅱ路,1,1,0,0.002304,0.014762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.660000,2.620000,-12.230000,0.000000,0.000000
73,74,莆田.坂鲤线,1,1,0,0.000756,0.003781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.690000,-0.890000,-15.910000,-1.450000,0.000000
73,75,莆田.坂大线,1,1,0,0.000756,0.003781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.410000,2.970000,-9.770000,-3.690000,0.000000
9,76,莆田.盖大线,1,1,0,0.000756,0.003781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.760000,3.750000,-12.040000,-5.390000,0.000000
4,77,莆田.东进变/#1主变变压器_h,1,1,1,0.003592,0.113006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.016304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.180000,7.240000,0.000000,0.000000,0.000000
1,77,莆田.东进变/#1主变变压器_m,1,1,1,0.000057,-0.005482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.052174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.730000,-3.220000,0.000000,0.000000,0.000000
78,77,莆田.东进变/#1主变变压器_l,1,1,1,0.002268,0.052665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.770000,-3.450000,0.000000,0.000000,0.000000
3,79,莆田.笏石变/#1主变变压器_h,1,1,1,0.001815,0.133422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.012500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.510000,4.820000,0.000000,0.000000,0.000000
80,79,莆田.笏石变/#1主变变压器_m,1,1,1,0.000926,-0.012250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.052174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.370001,-4.960000,0.000000,0.000000,0.000000
